[2024-12-05 11:14:26.914 AM] info: 	BEFORE DB Get Connection
[2024-12-05 11:14:26.926 AM] info: 	BEFORE DB Get Connection
[2024-12-05 11:14:26.945 AM] info: 	BEFORE DB Execution
[2024-12-05 11:14:26.947 AM] info: 	AFTER DB Execution Success
[2024-12-05 11:14:26.947 AM] info: 	BEFORE DB Connection Close
[2024-12-05 11:14:26.947 AM] info: 	BEFORE DB Get Connection
[2024-12-05 11:14:26.952 AM] info: 	AFTER DB Connection Close
[2024-12-05 11:14:26.959 AM] info: 	BEFORE DB Execution
[2024-12-05 11:14:26.959 AM] info: 	BEFORE DB Execution
[2024-12-05 11:14:26.961 AM] info: 	AFTER DB Execution Success
[2024-12-05 11:14:26.961 AM] info: 	BEFORE DB Connection Close
[2024-12-05 11:14:26.961 AM] info: 	BEFORE DB Get Connection
[2024-12-05 11:14:26.961 AM] info: 	AFTER DB Execution Success
